date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2020-06-11,30.43,35.27,26.67,0.14,59.08,12.65,4.58
2020-06-12,31.67,38.03,26.51,0.02,50.36,14.28,5.11
2020-06-13,32.32,39.3,25.99,0.01,49.4,21.73,4.65
2020-06-14,32.82,38.78,27.53,0.06,50.2,21.74,4.86
2020-06-15,32.22,37.05,28.01,0.6,54.78,22.72,3.6
2020-06-16,31.94,35.98,28.65,0.08,57.16,22.2,3.48
2020-06-17,31.81,36.7,27.74,0.21,56.14,21.77,3.76
2020-06-18,31.78,36.86,27.3,0.19,53.33,19.93,4.21
2020-06-19,31.56,36.24,27.35,0.06,53.53,19.2,3.59
2020-06-20,31.76,36.71,27.98,0.57,52.8,19.82,4.39
2020-06-21,29.38,33.49,25.97,1.5,61.94,16.76,4.78
2020-06-22,30.08,33.75,25.98,0.44,59.93,20.47,3.59
2020-06-23,31.99,38.6,27.15,1.23,49.59,16.51,2.89
2020-06-24,31.4,36.83,27.19,5.14,56.61,19.32,2.16
2020-06-25,28.74,32.49,25.81,6.3,71.19,15.99,1.9
2020-06-26,29.33,33.93,25.59,4.6,69.72,22.64,2.9
2020-06-27,30.44,35.29,26.12,1.43,65.89,22.88,2.61
2020-06-28,30.31,34.14,26.39,1.75,67.56,18.49,2.57
2020-06-29,30.22,33.88,27.0,1.52,68.23,18.67,2.4
2020-06-30,30.04,34.79,26.43,1.92,68.9,20.71,2.91
2020-07-01,29.54,33.1,26.25,1.42,65.28,15.78,2.98
2020-07-02,30.57,35.95,25.87,2.19,61.05,13.76,2.63
2020-07-03,29.42,34.26,24.93,6.56,64.11,16.34,4.09
2020-07-04,29.4,34.67,24.58,0.48,61.6,19.88,4.62
2020-07-05,29.97,34.75,25.66,0.14,60.99,14.81,3.22
2020-07-06,30.32,35.21,25.75,0.33,58.2,18.78,3.78
2020-07-07,30.29,35.66,25.47,2.58,60.14,24.03,3.35
2020-07-08,28.86,31.9,25.86,2.45,70.84,15.03,1.66
2020-07-09,27.39,29.57,25.51,15.64,78.08,20.02,2.23
2020-07-10,28.6,32.93,25.1,1.46,72.66,14.48,1.7
2020-07-11,28.66,32.79,25.57,10.79,73.72,19.46,2.22
2020-07-12,30.08,36.02,25.08,4.0,68.18,23.3,2.85
2020-07-13,28.56,31.05,26.12,1.16,72.78,11.31,2.17
2020-07-14,28.66,32.22,26.13,12.36,77.61,19.54,1.51
2020-07-15,28.61,32.26,25.83,5.17,76.36,13.97,2.82
2020-07-16,29.02,33.99,24.83,1.15,69.68,13.58,3.18
2020-07-17,29.03,33.72,25.25,0.61,66.7,13.54,3.45
