label,model,horizon,MAE,R2,perc_delta,kc_delta
perc+15%_kc+15%,xgboost,1,5.035,0.93,0.15,0.15
perc+15%_kc+15%,xgboost,2,6.919,0.905,0.15,0.15
perc+15%_kc+15%,xgboost,3,9.222,0.864,0.15,0.15
perc+15%_kc+30%,persistence,1,8.412,0.872,0.15,0.3
perc+15%_kc+30%,persistence,2,13.585,0.751,0.15,0.3
perc+15%_kc+30%,persistence,3,18.096,0.64,0.15,0.3
perc+15%_kc+30%,random_forest,1,5.726,0.933,0.15,0.3
perc+15%_kc+30%,random_forest,2,8.271,0.889,0.15,0.3
perc+15%_kc+30%,random_forest,3,10.355,0.857,0.15,0.3
perc+15%_kc+30%,xgboost,1,5.149,0.928,0.15,0.3
perc+15%_kc+30%,xgboost,2,7.565,0.87,0.15,0.3
perc+15%_kc+30%,xgboost,3,10.269,0.827,0.15,0.3
perc+30%_kc-30%,persistence,1,6.458,0.89,0.3,-0.3
perc+30%_kc-30%,persistence,2,9.545,0.791,0.3,-0.3
perc+30%_kc-30%,persistence,3,12.543,0.688,0.3,-0.3
perc+30%_kc-30%,random_forest,1,4.512,0.939,0.3,-0.3
perc+30%_kc-30%,random_forest,2,5.994,0.906,0.3,-0.3
perc+30%_kc-30%,random_forest,3,7.001,0.885,0.3,-0.3
perc+30%_kc-30%,xgboost,1,4.246,0.944,0.3,-0.3
perc+30%_kc-30%,xgboost,2,5.742,0.905,0.3,-0.3
perc+30%_kc-30%,xgboost,3,7.084,0.881,0.3,-0.3
perc+30%_kc-15%,persistence,1,7.007,0.882,0.3,-0.15
perc+30%_kc-15%,persistence,2,10.626,0.769,0.3,-0.15
perc+30%_kc-15%,persistence,3,14.116,0.653,0.3,-0.15
perc+30%_kc-15%,random_forest,1,4.921,0.93,0.3,-0.15
perc+30%_kc-15%,random_forest,2,6.836,0.885,0.3,-0.15
perc+30%_kc-15%,random_forest,3,8.2,0.862,0.3,-0.15
perc+30%_kc-15%,xgboost,1,4.461,0.94,0.3,-0.15
perc+30%_kc-15%,xgboost,2,6.304,0.89,0.3,-0.15
perc+30%_kc-15%,xgboost,3,8.193,0.847,0.3,-0.15
perc+30%_kc+0%,persistence,1,7.505,0.88,0.3,0.0
perc+30%_kc+0%,persistence,2,11.763,0.769,0.3,0.0
perc+30%_kc+0%,persistence,3,15.624,0.662,0.3,0.0
perc+30%_kc+0%,random_forest,1,5.509,0.93,0.3,0.0
perc+30%_kc+0%,random_forest,2,8.045,0.878,0.3,0.0
perc+30%_kc+0%,random_forest,3,9.81,0.843,0.3,0.0
perc+30%_kc+0%,xgboost,1,4.799,0.938,0.3,0.0
perc+30%_kc+0%,xgboost,2,7.067,0.882,0.3,0.0
perc+30%_kc+0%,xgboost,3,8.98,0.848,0.3,0.0
perc+30%_kc+15%,persistence,1,7.948,0.879,0.3,0.15
perc+30%_kc+15%,persistence,2,12.498,0.771,0.3,0.15
perc+30%_kc+15%,persistence,3,16.506,0.672,0.3,0.15
perc+30%_kc+15%,random_forest,1,5.541,0.933,0.3,0.15
perc+30%_kc+15%,random_forest,2,7.817,0.898,0.3,0.15
perc+30%_kc+15%,random_forest,3,9.723,0.872,0.3,0.15
perc+30%_kc+15%,xgboost,1,5.092,0.93,0.3,0.15
perc+30%_kc+15%,xgboost,2,7.027,0.904,0.3,0.15
perc+30%_kc+15%,xgboost,3,9.288,0.864,0.3,0.15
perc+30%_kc+30%,persistence,1,8.573,0.875,0.3,0.3
perc+30%_kc+30%,persistence,2,13.894,0.758,0.3,0.3
perc+30%_kc+30%,persistence,3,18.534,0.645,0.3,0.3
perc+30%_kc+30%,random_forest,1,5.831,0.936,0.3,0.3
perc+30%_kc+30%,random_forest,2,8.177,0.901,0.3,0.3
perc+30%_kc+30%,random_forest,3,9.891,0.878,0.3,0.3
perc+30%_kc+30%,xgboost,1,5.218,0.932,0.3,0.3
perc+30%_kc+30%,xgboost,2,7.738,0.882,0.3,0.3
perc+30%_kc+30%,xgboost,3,10.355,0.842,0.3,0.3
