model,horizon,season,MAE,RMSE,R2,n
adaboost,2,Kuruvai-2016,11.958131214135932,17.07421738833492,0.8463517691196388,111
xgboost_q50,2,Kuruvai-2016,7.987491738581444,15.31148566290991,0.8764392274249514,111
persistence,2,Kuruvai-2017,11.341711711711714,24.905433413484566,0.7909806627546268,111
random_forest,2,Kuruvai-2017,7.457182989650892,15.318516408299732,0.9209263709921086,111
adaboost,2,Kuruvai-2017,12.447795891481995,17.056566612652134,0.9019649244301564,111
xgboost_q50,2,Kuruvai-2017,7.034700382378725,13.362034636174657,0.9398350659592739,111
persistence,2,Kuruvai-2018,16.00738738738739,25.377927843337044,0.5980860100494811,111
random_forest,2,Kuruvai-2018,9.1944483806968,15.493328126473042,0.8502005411489503,111
adaboost,2,Kuruvai-2018,13.816883198304845,18.789815708465387,0.7796739501832954,111
xgboost_q50,2,Kuruvai-2018,8.301187970702715,15.393034933870092,0.8521336621347051,111
persistence,2,Kuruvai-2019,12.967837837837836,22.609344655822422,0.8157094080886846,111
random_forest,2,Kuruvai-2019,7.6751954721987525,13.066662192207913,0.9384459626728524,111
adaboost,2,Kuruvai-2019,10.909126178818466,17.03235919909307,0.8954132105867683,111
xgboost_q50,2,Kuruvai-2019,8.248590575853983,15.62971611404623,0.9119297161237063,111
persistence,2,Kuruvai-2020,10.692522522522522,17.102960783664553,0.7525886579261452,111
random_forest,2,Kuruvai-2020,9.711145216015051,16.00382505921135,0.7833670089538691,111
adaboost,2,Kuruvai-2020,13.286818555422593,18.70142462903847,0.70418077981609,111
xgboost_q50,2,Kuruvai-2020,8.967652472547583,17.928073478100828,0.728140663729558,111
persistence,2,Kuruvai-2021,10.143693693693693,17.715927607409974,0.6320747029043817,111
random_forest,2,Kuruvai-2021,7.60005825847571,13.754341168625503,0.7782255859578318,111
adaboost,2,Kuruvai-2021,10.912408204594284,18.419417464257943,0.6022743160670714,111
xgboost_q50,2,Kuruvai-2021,6.441056436359345,13.93725746910465,0.7722876939787379,111
persistence,2,Kuruvai-2022,11.984234234234235,18.050690411292422,0.723174992271249,111
random_forest,2,Kuruvai-2022,7.958224501597296,14.043124253473882,0.8324497182817313,111
adaboost,2,Kuruvai-2022,10.494387050369344,15.282510668755084,0.8015701058640048,111
xgboost_q50,2,Kuruvai-2022,6.95171819905977,12.256429973510874,0.8723720886856703,111
persistence,2,Kuruvai-2023,13.082522522522527,26.323312382273905,0.5791278877900874,111
random_forest,2,Kuruvai-2023,6.016050427870221,10.115737569632634,0.9378467014272082,111
adaboost,2,Kuruvai-2023,12.280509099242126,15.187672310940172,0.8598956851216892,111
xgboost_q50,2,Kuruvai-2023,6.115656475666408,9.953959424017498,0.939818805104672,111
persistence,2,Kuruvai-2024,12.645765765765766,27.251340557157224,0.7556569210130915,111
random_forest,2,Kuruvai-2024,6.609473565066556,12.667653815946489,0.9472020971306059,111
adaboost,2,Kuruvai-2024,13.070598738093567,16.103247929347507,0.9146799190319602,111
xgboost_q50,2,Kuruvai-2024,7.4838811015223605,15.622994354367066,0.9196931018538437,111
